latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
37.46706,-121.45876,319,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,289.7,4.6,N
37.4807,-121.78748,330.2,0.54,0.68,2020-08-17,1054,N,VIIRS,n,2.0NRT,278.2,3.7,N
37.50806,-121.43437,333,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,292,7.8,N
37.46521,-121.45262,330.3,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,289.6,4.6,N
37.4663,-121.43327,301.8,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,275.2,2.5,N
37.47351,-121.45727,333.8,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,290.3,6.6,N
37.81888,-121.77024,351.2,0.53,0.67,2020-08-17,1054,N,VIIRS,n,2.0NRT,265.4,32.2,N
37.8215,-121.77911,367,0.53,0.67,2020-08-17,1054,N,VIIRS,h,2.0NRT,277.5,32.2,N
37.51206,-121.43935,320.7,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,291.9,8.8,N
37.47898,-121.42952,332.5,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,261.7,6.8,N
37.48256,-121.44144,303.9,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,265.5,4.8,N
37.47525,-121.41709,316.7,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,263.6,6,N
37.51372,-121.43021,330.3,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,292.3,7.8,N
37.50989,-121.44051,330,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,292.2,13.1,N
37.48491,-121.42624,320.5,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,263.5,6.8,N
37.44883,-121.44412,326.8,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,287.2,9,N
37.44714,-121.43851,328.1,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,285.8,7.7,N
37.47561,-121.7932,310.5,0.54,0.68,2020-08-17,1054,N,VIIRS,n,2.0NRT,268.3,4.9,N
37.51011,-121.43294,345.4,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,293.6,8.8,N
37.48277,-121.41913,308.8,0.57,0.69,2020-08-17,1054,N,VIIRS,n,2.0NRT,269.8,6.8,N
37.48664,-121.75111,304.8,0.55,0.68,2020-08-17,1054,N,VIIRS,n,2.0NRT,275.5,1.4,N
37.48178,-121.75756,302.7,0.55,0.68,2020-08-17,1054,N,VIIRS,n,2.0NRT,266,1.4,N
37.48441,-121.75414,310.5,0.55,0.68,2020-08-17,1054,N,VIIRS,n,2.0NRT,269.3,3.8,N
